score_lr,score_diff_of_means
0.010550,0.360707
0.017075,0.379007
0.017810,0.364575
0.019451,0.378069
0.014910,0.370802
0.013595,0.368217
0.045009,0.404736
0.030591,0.392775
0.041038,0.400175
0.025991,0.392776
0.018565,0.376515
0.004728,0.356797
0.013004,0.370245
0.033216,0.390868
0.007026,0.361160
0.041151,0.396333
0.018438,0.370633
0.037990,0.396983
0.027025,0.387102
0.030377,0.397775
0.024824,0.375963
0.022775,0.383364
0.018201,0.387646
0.015370,0.371332
0.012066,0.367505
0.032698,0.393079
0.005380,0.343401
0.026712,0.386928
0.019797,0.381131
0.014330,0.371985
0.039424,0.391480
0.018621,0.386616
0.008313,0.359862
0.024282,0.380724
0.037233,0.394070
0.011497,0.371446
0.003321,0.340745
0.052755,0.404884
0.018438,0.381658
0.042626,0.399894
0.017760,0.373566
0.073520,0.415114
0.019275,0.377873
0.025301,0.386574
0.059070,0.412518
0.025128,0.380767
0.009685,0.356126
0.033479,0.394000
0.023399,0.380274
0.022994,0.388784
0.010602,0.369675
0.011541,0.361796
0.036294,0.391987
0.026156,0.392340
0.027867,0.388786
0.010307,0.363907
0.023035,0.386310
0.014224,0.378416
0.002006,0.332624
0.017722,0.389767
0.038355,0.390540
0.045017,0.399750
0.020305,0.377616
0.038585,0.407328
0.066940,0.419102
0.020473,0.379295
0.009022,0.367220
0.013243,0.370450
0.018634,0.382256
0.033786,0.388911
0.009495,0.375942
0.027832,0.389574
0.021374,0.384832
0.038595,0.405246
0.007704,0.363205
0.014291,0.374595
0.003661,0.348341
0.046086,0.401546
0.014260,0.376493
0.020474,0.380515
0.030513,0.395392
0.007091,0.377383
0.061462,0.408472
0.025994,0.385782
0.026451,0.386043
0.024677,0.386462
0.012439,0.365329
0.036702,0.395433
0.022025,0.380993
0.029935,0.394387
0.029729,0.389905
0.007990,0.361730
0.029673,0.392224
0.044385,0.401118
0.007634,0.357452
0.013398,0.373991
0.019227,0.376865
0.019801,0.383167
0.003596,0.349227
0.009669,0.359143
0.038367,0.397932
0.014841,0.374027
0.009708,0.363730
0.033791,0.400377
0.033629,0.392709
0.014077,0.372256
0.011471,0.372148
0.006261,0.357019
0.012633,0.373230
0.016101,0.378114
0.027935,0.391573
0.008517,0.361750
0.036046,0.401499
0.017437,0.382242
0.009203,0.377199
0.025091,0.384135
0.051887,0.407714
0.016735,0.386977
0.028839,0.396680
0.002002,0.330318
0.008726,0.366375
0.035659,0.395421
0.033861,0.389893
0.019545,0.385544
0.013959,0.372042
0.012295,0.369809
0.020116,0.381623
0.013267,0.377367
0.091733,0.422285
0.025966,0.393549
0.045280,0.401212
0.014466,0.375956
0.015109,0.380725
0.024488,0.387831
0.010999,0.372217
0.043654,0.400231
0.018197,0.377095
0.044126,0.413156
0.007237,0.364789
0.017721,0.377803
0.029233,0.391514
0.041876,0.401669
0.010471,0.377415
0.007465,0.347010
0.066880,0.412638
0.017333,0.378560
0.027198,0.387928
0.023742,0.384878
0.023858,0.386148
0.014556,0.375030
0.035126,0.392218
0.048038,0.402342
0.032320,0.391764
0.042618,0.400309
0.028149,0.389488
0.039774,0.397397
0.026730,0.385702
0.041676,0.398233
0.023902,0.385149
0.024238,0.382048
0.020837,0.378282
0.007774,0.362754
0.037839,0.396433
