game_id,seed_group,round,position,speaker,role,silent,lr_pub,lr_full,dom_pub,dom_full,rand_pub,rand_full
s0g0,0,0,0,Bob,Carrot,0,0.007656,0.022913,0.245945,0.269974,0.375918,0.447551
s0g1,0,0,0,Alice,Carrot,0,0.002782,0.004458,0.217267,0.227485,0.653826,0.552459
s0g2,0,0,0,Bob,Carrot,0,0.003154,0.008881,0.219844,0.246446,0.709947,0.515539
s0g3,0,0,0,Bob,Carrot,0,0.000589,0.006852,0.191632,0.238131,0.730017,0.617389
s0g4,0,0,0,Bob,Parsnip,0,0.010142,0.038995,0.240576,0.278390,0.521107,0.357178
s0g5,0,0,0,Alice,Carrot,0,0.009751,0.012050,0.252589,0.256993,0.623709,0.498006
s0g6,0,0,0,Bob,Carrot,0,0.003583,0.033799,0.230989,0.284419,0.424590,0.375926
s0g7,0,0,0,Charlie,Carrot,0,0.001025,0.014520,0.202974,0.260005,0.514992,0.404178
s0g8,0,0,0,Eve,Carrot,0,0.002241,0.005262,0.222754,0.234408,0.569005,0.552138
s0g9,0,0,0,Charlie,Carrot,0,0.049025,0.053120,0.290493,0.291201,0.513095,0.453337
s0g10,0,0,0,Bob,Carrot,0,0.009530,0.011551,0.242057,0.248968,0.492553,0.427730
s0g11,0,0,0,Alice,Carrot,0,0.002082,0.022675,0.214536,0.271324,0.484504,0.401480
s0g12,0,0,0,Eve,Carrot,0,0.004171,0.012973,0.226783,0.254047,0.566975,0.501569
s0g13,0,0,0,Eve,Carrot,0,0.001152,0.006193,0.203616,0.238943,0.716014,0.603865
s0g14,0,0,0,Charlie,Carrot,0,0.006829,0.014143,0.241316,0.255897,0.452466,0.496772
s0g15,0,0,0,Eve,Carrot,0,0.003271,0.008671,0.225877,0.245213,0.584344,0.569396
s0g16,0,0,0,Bob,Parsnip,0,0.003254,0.017805,0.223327,0.262213,0.613496,0.492976
s0g17,0,0,0,Charlie,Carrot,0,0.010665,0.010651,0.250216,0.249017,0.419982,0.443285
s0g18,0,0,0,Alice,Carrot,0,0.000873,0.003956,0.191510,0.223570,0.693218,0.552800
s0g19,0,0,0,Dave,Parsnip,0,0.010595,0.018024,0.254864,0.265043,0.427954,0.361894
s1g0,1,0,0,Bob,Carrot,0,0.008414,0.011731,0.246111,0.253657,0.954314,0.954782
s1g1,1,0,0,Eve,Carrot,0,0.003834,0.026915,0.224026,0.276066,0.974550,0.932053
s1g2,1,0,0,Dave,Carrot,0,0.004432,0.006165,0.234003,0.239979,0.943760,0.944600
s1g3,1,0,0,Eve,Carrot,0,0.002603,0.007685,0.219063,0.240169,0.966883,0.971560
s1g4,1,0,0,Alice,Carrot,0,0.003060,0.017277,0.224446,0.263055,0.933442,0.931306
s1g5,1,0,0,Eve,Carrot,0,0.004434,0.045794,0.239427,0.291092,0.929485,0.925793
s1g6,1,0,0,Alice,Parsnip,0,0.005454,0.029018,0.241417,0.280503,0.954315,0.920285
s1g7,1,0,0,Charlie,Carrot,0,0.006631,0.011052,0.230820,0.243816,0.940566,0.957521
