game_id,seed_group,round,position,speaker,role,silent,lr_pub,lr_full,dom_pub,dom_full,rand_pub,rand_full
s0g0,0,0,0,Bob,Carrot,0,0.004094,0.023590,0.233969,0.272013,0.367749,0.304242
s0g1,0,0,0,Alice,Carrot,0,0.006431,0.028762,0.247372,0.275243,0.648035,0.513789
s0g2,0,0,0,Bob,Carrot,0,0.003105,0.031944,0.231258,0.280800,0.281883,0.339107
s0g3,0,0,0,Bob,Carrot,0,0.003232,0.028679,0.229391,0.278811,0.475823,0.334357
s0g4,0,0,0,Bob,Parsnip,0,0.001636,0.026923,0.211567,0.273910,0.516412,0.340372
s0g5,0,0,0,Alice,Carrot,0,0.004076,0.011143,0.225960,0.248138,0.427463,0.466298
s0g6,0,0,0,Bob,Carrot,0,0.001922,0.027361,0.227031,0.277640,0.273381,0.351528
s0g7,0,0,0,Charlie,Carrot,0,0.001383,0.015702,0.214204,0.263752,0.303411,0.326592
s0g8,0,0,0,Eve,Carrot,0,0.003640,0.020909,0.237035,0.270830,0.512362,0.352512
s0g9,0,0,0,Charlie,Carrot,0,0.014738,0.037066,0.261507,0.283419,0.321310,0.328860
s0g10,0,0,0,Bob,Carrot,0,0.002346,0.020018,0.225766,0.270814,0.404004,0.368444
s0g11,0,0,0,Alice,Carrot,0,0.002886,0.031776,0.228091,0.283596,0.412728,0.324653
s0g12,0,0,0,Eve,Carrot,0,0.004054,0.028212,0.230681,0.277609,0.437437,0.361951
s0g13,0,0,0,Eve,Carrot,0,0.002578,0.028876,0.235765,0.279555,0.570243,0.342154
s0g14,0,0,0,Charlie,Carrot,0,0.002139,0.019793,0.220680,0.271570,0.490154,0.316043
s0g15,0,0,0,Eve,Carrot,0,0.001852,0.015757,0.211177,0.261962,0.411745,0.321277
s0g16,0,0,0,Bob,Parsnip,0,0.004828,0.022523,0.231277,0.267974,0.579371,0.393048
s0g17,0,0,0,Charlie,Carrot,0,0.003802,0.021140,0.233425,0.264593,0.536078,0.476367
s0g18,0,0,0,Alice,Carrot,0,0.002519,0.023477,0.225350,0.273505,0.349223,0.323717
s0g19,0,0,0,Dave,Parsnip,0,0.003793,0.015294,0.228061,0.260407,0.761113,0.608012
s1g0,1,0,0,Bob,Carrot,0,0.003359,0.030642,0.244289,0.281424,0.919078,0.918794
s1g1,1,0,0,Eve,Carrot,0,0.008817,0.033695,0.258661,0.284168,0.951756,0.922036
s1g2,1,0,0,Dave,Carrot,0,0.007203,0.019986,0.234266,0.263431,0.950472,0.954896
s1g3,1,0,0,Eve,Carrot,0,0.003096,0.026185,0.231849,0.276454,0.968866,0.920070
s1g4,1,0,0,Alice,Carrot,0,0.010009,0.022783,0.253340,0.269394,0.959818,0.952181
s1g5,1,0,0,Eve,Carrot,0,0.002174,0.019718,0.222222,0.269207,0.952888,0.919554
s1g6,1,0,0,Alice,Parsnip,0,0.003015,0.018863,0.215385,0.261539,0.928291,0.909591
s1g7,1,0,0,Charlie,Carrot,0,0.002912,0.022879,0.227832,0.270823,0.942147,0.928364
s1g8,1,0,0,Alice,Carrot,0,0.003235,0.022580,0.229643,0.271061,0.952787,0.924955
s1g9,1,0,0,Eve,Carrot,0,0.003157,0.036482,0.231287,0.283244,0.913816,0.922593
s1g10,1,0,0,Charlie,Carrot,0,0.002869,0.023416,0.228707,0.273198,0.931356,0.913378
s1g11,1,0,0,Eve,Carrot,0,0.001967,0.013609,0.219103,0.260908,0.921307,0.928185
s1g12,1,0,0,Bob,Carrot,0,0.004825,0.022981,0.241522,0.271413,0.946888,0.924636
s1g13,1,0,0,Dave,Carrot,0,0.005904,0.013913,0.261633,0.264979,0.952498,0.938365
s1g14,1,0,0,Bob,Carrot,0,0.003035,0.024342,0.225295,0.273296,0.958834,0.926393
s1g15,1,0,0,Charlie,Carrot,0,0.002006,0.023014,0.219957,0.272804,0.961463,0.929193
s1g16,1,0,0,Eve,Carrot,0,0.005231,0.037980,0.244320,0.286213,0.950932,0.927827
s1g17,1,0,0,Alice,Carrot,0,0.004042,0.042953,0.234360,0.291133,0.984810,0.931360
s1g18,1,0,0,Dave,Parsnip,0,0.001670,0.015262,0.212411,0.259868,0.963713,0.944114
s1g19,1,0,0,Alice,Carrot,0,0.002428,0.019260,0.226881,0.269802,0.970975,0.946301
s2g0,2,0,0,Charlie,Carrot,0,0.002286,0.017502,0.225839,0.266920,0.602296,0.730221
s2g1,2,0,0,Charlie,Carrot,0,0.006347,0.024841,0.244119,0.274181,0.604361,0.688841
s2g2,2,0,0,Charlie,Carrot,0,0.001831,0.023708,0.217921,0.273509,0.723360,0.769359
s2g3,2,0,0,Eve,Carrot,0,0.006971,0.021892,0.245311,0.271451,0.649425,0.707011
s2g4,2,0,0,Dave,Carrot,0,0.003239,0.018509,0.224032,0.265478,0.733651,0.786738
s2g5,2,0,0,Alice,Carrot,0,0.017744,0.065773,0.262073,0.297961,0.725389,0.758508
s2g6,2,0,0,Bob,Carrot,0,0.002710,0.027659,0.234832,0.280762,0.558854,0.762199
s2g7,2,0,0,Bob,Carrot,0,0.002949,0.020087,0.233290,0.270916,0.619228,0.706896
s2g8,2,0,0,Alice,Parsnip,0,0.002712,0.038531,0.228197,0.287654,0.763016,0.768731
s2g9,2,0,0,Eve,Carrot,0,0.003079,0.030656,0.225725,0.279843,0.641520,0.751028
s2g10,2,0,0,Bob,Carrot,0,0.002997,0.025701,0.227760,0.275479,0.576852,0.709742
s2g11,2,0,0,Bob,Carrot,0,0.000708,0.016339,0.195714,0.260714,0.470115,0.755771
s2g12,2,0,0,Charlie,Carrot,0,0.004742,0.031675,0.237664,0.280828,0.853873,0.772386
s2g13,2,0,0,Charlie,Carrot,0,0.014269,0.021295,0.258361,0.263997,0.555667,0.752066
s2g14,2,0,0,Alice,Parsnip,0,0.001774,0.015078,0.205341,0.257155,0.595186,0.675572
s2g15,2,0,0,Alice,Carrot,0,0.002273,0.015453,0.215615,0.261666,0.614470,0.671822
s2g16,2,0,0,Dave,Carrot,0,0.002948,0.022424,0.240039,0.275514,0.532389,0.792691
s2g17,2,0,0,Bob,Carrot,0,0.013973,0.051678,0.267219,0.294763,0.755949,0.783474
s2g18,2,0,0,Alice,Carrot,0,0.001563,0.022149,0.217903,0.272133,0.535932,0.700987
s2g19,2,0,0,Dave,Parsnip,0,0.001958,0.016396,0.211426,0.259160,0.671973,0.749428
s3g0,3,0,0,Bob,Parsnip,0,0.002964,0.025327,0.228033,0.275366,0.218496,0.426674
s3g1,3,0,0,Eve,Carrot,0,0.002649,0.025977,0.230287,0.276806,0.197577,0.443300
s3g2,3,0,0,Alice,Parsnip,0,0.002922,0.018106,0.216481,0.262786,0.281519,0.453335
s3g3,3,0,0,Charlie,Carrot,0,0.006475,0.033331,0.240579,0.281452,0.165685,0.421937
s3g4,3,0,0,Charlie,Carrot,0,0.012358,0.024674,0.246485,0.268159,0.224445,0.239633
s3g5,3,0,0,Dave,Carrot,0,0.005415,0.018799,0.237814,0.265673,0.163879,0.382088
s3g6,3,0,0,Bob,Carrot,0,0.003972,0.042128,0.238384,0.289172,0.262652,0.433268
s3g7,3,0,0,Alice,Carrot,0,0.001887,0.026489,0.233170,0.277979,0.131430,0.431229
s3g8,3,0,0,Charlie,Carrot,0,0.002327,0.021533,0.216295,0.269280,0.243445,0.423330
s3g9,3,0,0,Dave,Carrot,0,0.003289,0.020629,0.229960,0.272716,0.204793,0.406238
s3g10,3,0,0,Dave,Carrot,0,0.004511,0.028771,0.232251,0.277256,0.337948,0.433705
s3g11,3,0,0,Alice,Carrot,0,0.004942,0.030496,0.241576,0.279641,0.273254,0.449085
s3g12,3,0,0,Eve,Carrot,0,0.010177,0.020503,0.262994,0.271654,0.094653,0.280834
s3g13,3,0,0,Dave,Carrot,0,0.003310,0.020220,0.229663,0.267151,0.231725,0.254167
s3g14,3,0,0,Bob,Parsnip,0,0.005094,0.023522,0.229847,0.270286,0.404814,0.456244
s3g15,3,0,0,Eve,Parsnip,0,0.001098,0.015242,0.207131,0.258914,0.329921,0.459203
s3g16,3,0,0,Dave,Carrot,0,0.002562,0.028215,0.227651,0.278634,0.165813,0.387687
s3g17,3,0,0,Dave,Carrot,0,0.001765,0.031790,0.217726,0.281632,0.101632,0.412215
s3g18,3,0,0,Dave,Carrot,0,0.001638,0.023839,0.224200,0.275173,0.196912,0.405212
s3g19,3,0,0,Dave,Carrot,0,0.004527,0.010892,0.224171,0.247298,0.467575,0.267403
s4g0,4,0,0,Charlie,Carrot,0,0.002413,0.021331,0.228845,0.272737,0.145448,0.081892
s4g1,4,0,0,Eve,Carrot,0,0.002650,0.031971,0.230247,0.281179,0.071046,0.065085
s4g2,4,0,0,Eve,Carrot,0,0.004345,0.028969,0.232949,0.278260,0.142242,0.077340
s4g3,4,0,0,Alice,Carrot,0,0.002011,0.016717,0.230315,0.266758,0.080028,0.071700
s4g4,4,0,0,Eve,Carrot,0,0.001980,0.024498,0.222488,0.274885,0.158973,0.087018
s4g5,4,0,0,Charlie,Carrot,0,0.002921,0.030870,0.228558,0.281473,0.161505,0.080552
s4g6,4,0,0,Bob,Carrot,0,0.004758,0.032157,0.236880,0.282338,0.077241,0.080925
s4g7,4,0,0,Alice,Parsnip,0,0.001579,0.007679,0.206899,0.242283,0.153019,0.082451
s4g8,4,0,0,Alice,Carrot,0,0.007233,0.026591,0.243754,0.278567,0.096258,0.053053
s4g9,4,0,0,Bob,Carrot,0,0.007607,0.035674,0.248516,0.285172,0.147577,0.088583
s4g10,4,0,0,Dave,Carrot,0,0.002069,0.022521,0.218581,0.271812,0.153753,0.089217
s4g11,4,0,0,Alice,Carrot,0,0.005876,0.027227,0.258053,0.279077,0.065885,0.076449
s4g12,4,0,0,Dave,Carrot,0,0.003921,0.017457,0.227642,0.262913,0.164803,0.054159
s4g13,4,0,0,Charlie,Carrot,0,0.011330,0.053801,0.259870,0.295346,0.112518,0.070072
s4g14,4,0,0,Charlie,Carrot,0,0.003124,0.023226,0.224751,0.271619,0.148896,0.097747
s4g15,4,0,0,Dave,Carrot,1,0.010348,0.025755,0.306403,0.275947,0.004509,0.079922
